applicant_id,gender,region_tier,age_band,age,education,employment_type,monthly_income_declared,loan_amount_requested,loan_tenure_months,loan_purpose,emi_to_income,is_new_to_credit,bureau_score,credit_history_months,num_existing_loans,enquiries_6m,upi_txn_count_3m,upi_inflow_median,upi_inflow_cv,upi_merchant_diversity,avg_balance_3m,days_balance_below_500,salary_regularity,mobile_tenure_months,recharge_regularity,utility_ontime_ratio,sim_changes_12m,default_12m
APP0000188,female,metro,31-40,33,graduate,agri,5000.0,37100.0,12,consumer_durable,0.7234,0,487.0,26.0,6,0,55,861.37,1.1493,9,426.65,39,0.0,68.0,0.3021,0.3987,0,1
APP0000342,male,tier2,31-40,37,upto_secondary,self_employed,7200.0,24300.0,36,medical,0.1097,1,,,0,1,41,945.07,0.5727,8,753.26,44,0.0,51.0,0.574,0.9372,0,0
APP0000409,female,tier3,21-30,28,higher_secondary,self_employed,5900.0,32900.0,36,consumer_durable,0.1812,1,,,0,1,50,967.87,1.1105,13,957.16,42,0.0,35.0,0.6506,0.3365,1,0
APP0000507,male,tier3,21-30,30,postgraduate,salaried_formal,17100.0,34400.0,12,business_working_capital,0.1961,1,,,0,1,55,2304.82,0.4841,9,1846.01,18,0.6424,41.0,0.4665,0.7136,0,0
APP0000938,male,tier2,31-40,32,higher_secondary,self_employed,6700.0,18500.0,36,education,0.0897,1,,,0,0,45,1596.91,0.7278,8,863.51,29,0.0778,67.0,0.3931,0.5647,0,1
APP0000985,female,rural,21-30,26,upto_secondary,self_employed,5700.0,37600.0,12,consumer_durable,0.6432,1,,,0,1,54,1092.64,1.0683,14,1370.62,20,0.743,139.0,0.6477,0.9979,0,1
APP0001040,male,tier2,31-40,37,higher_secondary,gig_worker,10500.0,60400.0,24,business_working_capital,0.2804,0,617.0,53.0,1,2,60,2304.73,0.6067,10,756.91,22,0.3414,15.0,0.6971,0.9387,1,0
APP0001073,female,tier2,31-40,34,higher_secondary,self_employed,5400.0,12300.0,18,two_wheeler,0.1481,0,570.0,38.0,2,0,43,1757.27,1.2886,8,427.45,44,0.0,44.0,0.5346,0.5884,0,1
APP0001174,male,metro,41-50,42,graduate,agri,6400.0,33400.0,24,business_working_capital,0.2544,0,621.0,87.0,0,3,57,1080.52,0.7919,8,2171.93,27,0.1234,26.0,0.3869,0.0706,0,1
APP0001186,male,metro,21-30,28,graduate,gig_worker,7600.0,44100.0,18,consumer_durable,0.3772,1,,,0,3,62,1536.79,1.1332,12,3591.15,27,0.5611,17.0,0.492,0.2927,0,1
APP0001379,female,tier3,31-40,31,upto_secondary,salaried_informal,5000.0,15800.0,6,consumer_durable,0.6162,1,,,0,3,49,1956.99,1.0218,7,731.72,41,0.0,28.0,0.1556,0.4975,1,1
APP0001467,female,rural,21-30,26,upto_secondary,gig_worker,5800.0,34700.0,24,education,0.2917,1,,,0,1,43,1579.6,0.7766,8,495.58,46,0.0,45.0,0.326,0.627,0,1
APP0001501,male,tier3,21-30,25,graduate,gig_worker,6000.0,34100.0,12,consumer_durable,0.5541,1,,,0,4,44,1988.76,0.2327,4,846.73,19,0.1556,90.0,0.362,0.6029,3,1
APP0001527,male,tier2,31-40,34,graduate,self_employed,10300.0,56200.0,24,business_working_capital,0.266,0,687.0,31.0,3,0,65,1648.09,0.3661,7,3411.36,10,0.8446,38.0,0.3524,0.3577,2,0
APP0001534,female,tier2,21-30,24,graduate,gig_worker,8200.0,50000.0,18,consumer_durable,0.3963,1,,,0,1,54,2808.41,0.7671,17,2030.0,19,0.5704,51.0,0.2187,0.1435,2,0
APP0001597,female,tier2,31-40,38,higher_secondary,gig_worker,5000.0,12400.0,6,education,0.4836,1,,,0,3,55,1539.15,1.2219,15,1441.59,22,0.0,4.0,0.4913,0.6899,0,0
APP0001629,male,rural,21-30,26,upto_secondary,agri,5800.0,15300.0,24,two_wheeler,0.1286,0,409.0,36.0,3,0,42,1351.04,0.749,8,1153.0,46,0.1651,53.0,0.1219,0.2262,1,1
APP0001727,male,tier3,31-40,39,graduate,self_employed,46700.0,85800.0,36,two_wheeler,0.0597,0,886.0,52.0,1,1,75,9811.66,0.2431,7,14554.53,5,1.0,30.0,0.5372,0.2628,2,0
APP0001759,female,metro,31-40,31,upto_secondary,self_employed,5700.0,39900.0,12,two_wheeler,0.6825,1,,,0,2,53,1749.18,1.0118,13,830.6,44,0.1786,102.0,0.6142,1.0,0,1
APP0001862,female,tier3,31-40,34,higher_secondary,salaried_informal,7100.0,27600.0,12,consumer_durable,0.379,1,,,0,0,62,1995.84,0.7358,11,2271.26,17,0.6798,59.0,0.5119,0.5783,1,0
APP0001867,female,tier3,41-50,43,higher_secondary,salaried_informal,32300.0,83100.0,24,two_wheeler,0.1254,0,593.0,15.0,1,1,63,5865.5,1.0625,19,7733.26,6,0.9171,31.0,0.7762,0.5294,0,0
APP0001877,male,metro,31-40,33,graduate,salaried_informal,5900.0,37100.0,24,medical,0.3065,0,610.0,13.0,1,3,60,1309.4,0.9626,13,501.61,28,0.3312,22.0,0.3426,0.1429,0,1
APP0001921,male,metro,31-40,38,higher_secondary,self_employed,9400.0,50400.0,24,two_wheeler,0.2614,0,561.0,37.0,0,2,52,1352.73,0.8826,15,930.05,20,0.3673,98.0,0.4212,0.9509,1,0
APP0002140,male,tier2,31-40,38,upto_secondary,self_employed,16600.0,56000.0,12,medical,0.3289,0,637.0,36.0,2,2,61,2924.37,0.3014,15,9916.54,5,0.8363,34.0,0.3059,0.8851,0,0
APP0002181,female,tier3,41-50,46,higher_secondary,salaried_formal,31300.0,176100.0,6,consumer_durable,1.0971,0,647.0,28.0,1,1,82,6402.93,0.05,9,8169.38,4,0.7243,17.0,0.1724,0.0895,1,1
APP0002346,female,metro,31-40,34,upto_secondary,agri,6000.0,46200.0,18,consumer_durable,0.5005,1,,,0,2,56,1279.32,1.1687,10,416.1,54,0.0,28.0,0.7039,0.9853,0,0
APP0002377,male,tier3,21-30,27,upto_secondary,agri,6500.0,26800.0,24,business_working_capital,0.201,1,,,0,1,49,1814.11,0.7026,7,833.27,43,0.0,7.0,0.0258,0.442,1,1
APP0002394,female,tier2,21-30,29,postgraduate,self_employed,5100.0,9000.0,18,business_working_capital,0.1147,1,,,0,3,55,1502.72,1.1811,10,515.31,42,0.0818,33.0,0.2492,0.5072,0,1
APP0002649,female,metro,31-40,36,higher_secondary,gig_worker,7900.0,60500.0,6,consumer_durable,1.4934,0,681.0,102.0,1,1,61,2213.14,1.2341,11,1495.75,21,0.2568,23.0,0.0095,0.3812,0,1
APP0002661,male,tier2,31-40,31,graduate,salaried_informal,8900.0,34100.0,18,education,0.249,0,567.0,10.0,1,3,52,1130.06,0.6007,6,1070.37,23,0.56,30.0,0.0,0.1598,1,0
